origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
w81112070,SP7_CHOJNICE,15.7315901,257.4788783,19.9707363,293.1812046
w81112062,SP7_CHOJNICE,39.6766727,234.4957722,19.9707363,294.1431812
w71269628,SP7_CHOJNICE,13.9188382,261.0111842,19.9707363,294.9007586
w71241388,SP7_CHOJNICE,13.9973438,260.9608306,19.9707363,294.9289106
w82608039,SP7_CHOJNICE,30.7685002,244.2602319,19.9707363,294.9994683
w66723508,SP1_CHOJNICE,13.8833386,257.5070813,24.32211,295.7125299
w69619921,SP7_CHOJNICE,18.105137,257.6593749,19.9707363,295.7352482
w82616444,SP7_CHOJNICE,29.1879712,246.8213647,19.9707363,295.9800722
w69613570,SP7_CHOJNICE,21.1184333,254.971358,19.9707363,296.0605276
w66723589,SP1_CHOJNICE,12.5540537,261.1842137,24.32211,298.0603774
w71269623,SP7_CHOJNICE,17.0086024,263.4044529,19.9707363,300.3837916
w82608052,SP7_CHOJNICE,24.9219589,255.8016594,19.9707363,300.6943546
w82608042,SP7_CHOJNICE,30.6801918,250.1628423,19.9707363,300.8137704
w83623973,SP1_CHOJNICE,52.5562943,224.0408995,24.32211,300.9193038
w81112055,SP7_CHOJNICE,32.4926232,250.6402786,19.9707363,303.1036381
w82610553,SP7_CHOJNICE,17.0137102,267.8435838,19.9707363,304.8280303
w616676337,SP7_CHOJNICE,18.7994298,266.3041203,19.9707363,305.0742863
w66723593,SP1_CHOJNICE,12.310677,270.5435279,24.32211,307.1763148
w83623902,SP1_CHOJNICE,45.1834688,238.1706369,24.32211,307.6762156
w814770549,SP7_CHOJNICE,13.6081614,274.4343755,19.9707363,308.0132731
w814770555,SP1_CHOJNICE,13.157226,270.8753953,24.32211,308.3547314
w83623965,SP1_CHOJNICE,44.2341453,239.9441925,24.32211,308.5004478
w81112059,SP7_CHOJNICE,32.5518339,256.3477326,19.9707363,308.8703028
w1173514555,SP7_CHOJNICE,36.6606306,253.0857566,19.9707363,309.7171234
w82608051,SP7_CHOJNICE,17.1860257,272.5688161,19.9707363,309.7255781
w81112042,SP7_CHOJNICE,15.5200289,274.4429213,19.9707363,309.9336865
w83556340,SP1_CHOJNICE,31.7519283,254.6050937,24.32211,310.6791321
w66723615,SP1_CHOJNICE,15.9147472,270.8753953,24.32211,311.1122525
w81112047,SP7_CHOJNICE,33.7160188,257.4757146,19.9707363,311.1624697
w66529498,SP1_CHOJNICE,27.3966485,259.5959472,24.32211,311.3147056
w82610543,SP7_CHOJNICE,31.520055,259.8609334,19.9707363,311.3517246
w71241376,SP7_CHOJNICE,14.0364925,279.09933,19.9707363,313.1065588
w71269637,SP7_CHOJNICE,14.164563,279.5606865,19.9707363,313.6959858
w82616458,SP7_CHOJNICE,15.1273204,281.2573005,19.9707363,316.3553572
w810172511,SP7_CHOJNICE,34.3919292,262.1105266,19.9707363,316.4731921
w81112073,SP7_CHOJNICE,15.5937824,281.2052004,19.9707363,316.7697191
w83556334,SP1_CHOJNICE,33.7675435,260.3590293,24.32211,318.4486827
w83623924,SP1_CHOJNICE,53.1401511,242.709858,24.32211,320.1721191
w71241379,SP7_CHOJNICE,15.0184764,285.6145309,19.9707363,320.6037436
w69368374,SP7_CHOJNICE,16.3908152,285.1526878,19.9707363,321.5142392
w66723586,SP1_CHOJNICE,12.8818578,284.4548589,24.32211,321.6588266
w82620246,SP7_CHOJNICE,16.111368,285.6143422,19.9707363,321.6964464
w66864993,SP1_CHOJNICE,12.3648305,285.1960217,24.32211,321.8829622
w66723507,SP1_CHOJNICE,13.9255703,283.7638502,24.32211,322.0115304
w71241374,SP7_CHOJNICE,32.2492918,270.1002972,19.9707363,322.3203253
w82608024,SP7_CHOJNICE,29.365077,274.0084333,19.9707363,323.3442465
w82616475,SP7_CHOJNICE,17.5650832,286.5586221,19.9707363,324.0944416
w71269625,SP7_CHOJNICE,15.8440951,288.9649357,19.9707363,324.7797671
w82608030,SP7_CHOJNICE,17.2412737,288.0973063,19.9707363,325.3093163
w82610550,SP7_CHOJNICE,22.3795893,283.5299806,19.9707363,325.8803062
w83556347,SP1_CHOJNICE,39.9202415,261.6592789,24.32211,325.9016304
w81001697,SP7_CHOJNICE,13.0593999,293.1216036,19.9707363,326.1517398
w81112048,SP7_CHOJNICE,32.0323398,274.2280146,19.9707363,326.2310907
w69613607,SP7_CHOJNICE,16.7658553,291.4485031,19.9707363,328.1850947
w83556345,SP1_CHOJNICE,48.2058698,257.4834102,24.32211,330.01139
w66869315,SP1_CHOJNICE,15.466578,291.0787809,24.32211,330.8674689
w69611298,SP7_CHOJNICE,16.4286515,294.4925277,19.9707363,330.8919155
w69368395,SP7_CHOJNICE,14.7876549,297.4886688,19.9707363,332.24706
w814770548,SP7_CHOJNICE,14.544043,297.8885542,19.9707363,332.4033335
w82608049,SP7_CHOJNICE,35.1752037,277.8438939,19.9707363,332.9898338
w82620255,SP7_CHOJNICE,18.2457899,295.0214421,19.9707363,333.2379683
w82608027,SP7_CHOJNICE,17.3535253,295.9813879,19.9707363,333.3056495
w81112046,SP7_CHOJNICE,15.384915,298.1813767,19.9707363,333.537028
w81112050,SP7_CHOJNICE,32.163254,281.6357553,19.9707363,333.7697456
w81001685,SP7_CHOJNICE,16.2089905,299.3126934,19.9707363,335.4924202
w82610547,SP7_CHOJNICE,14.5610414,301.8813635,19.9707363,336.4131411
w69613590,SP7_CHOJNICE,30.4479213,286.7779882,19.9707363,337.1966458
w82620282,SP7_CHOJNICE,35.5170762,284.9054024,19.9707363,340.3932149
w71269629,SP7_CHOJNICE,31.0541759,290.0471334,19.9707363,341.0720456
w81112038,SP7_CHOJNICE,15.380428,306.0425182,19.9707363,341.3936825
w69619952,SP7_CHOJNICE,12.806831,308.7008705,19.9707363,341.4784377
w274675476,SP7_CHOJNICE,15.0300668,306.9092644,19.9707363,341.9100675
w66723512,SP1_CHOJNICE,17.1620787,301.2295242,24.32211,342.7137129
w82608870,SP7_CHOJNICE,16.7999137,306.4538982,19.9707363,343.2245481
w69613586,SP7_CHOJNICE,31.3483278,292.4910243,19.9707363,343.8100884
w82620289,SP7_CHOJNICE,18.1287561,306.3736053,19.9707363,344.4730977
w82620275,SP7_CHOJNICE,20.5412512,304.4384723,19.9707363,344.9504597
w81001670,SP7_CHOJNICE,25.8107764,299.3126934,19.9707363,345.0942061
w814770556,SP1_CHOJNICE,15.1613369,305.7610694,24.32211,345.2445162
w69611301,SP7_CHOJNICE,19.2939931,306.3265505,19.9707363,345.5912799
w66529467,SP1_CHOJNICE,30.1233427,291.75152,24.32211,346.1969727
w82608048,SP7_CHOJNICE,37.8618588,288.9271292,19.9707363,346.7597243
w81001692,SP7_CHOJNICE,12.7217692,314.3440114,19.9707363,347.0365168
w81001674,SP7_CHOJNICE,17.9867313,310.0151422,19.9707363,347.9726097
w82608883,SP7_CHOJNICE,18.1466719,310.066953,19.9707363,348.1843611
w82620263,SP7_CHOJNICE,24.9723,304.3920571,19.9707363,349.3350934
w66875096,SP1_CHOJNICE,15.1123224,310.6879583,24.32211,350.1223906
w81112039,SP7_CHOJNICE,32.1294376,298.0723389,19.9707363,350.1725128
w82620241,SP7_CHOJNICE,16.9358415,313.5102739,19.9707363,350.4168516
w83556348,SP1_CHOJNICE,66.2654762,261.4461627,24.32211,352.0337489
w69619967,SP7_CHOJNICE,27.3471872,304.731366,19.9707363,352.0492894
w71269638,SP7_CHOJNICE,15.617168,316.6494976,19.9707363,352.2374018
w1173514554,SP7_CHOJNICE,20.6359999,311.9672857,19.9707363,352.5740219
w82610551,SP7_CHOJNICE,15.3030927,317.7356849,19.9707363,353.0095139
w83623922,SP1_CHOJNICE,20.9832161,308.0217124,24.32211,353.3270385
w71241391,SP7_CHOJNICE,10.136014,323.2831772,19.9707363,353.3899275
w69368408,SP7_CHOJNICE,14.7178583,319.8214607,19.9707363,354.5100553
w1361378271,SP7_CHOJNICE,17.4627065,318.0210385,19.9707363,355.4544812
w69613568,SP7_CHOJNICE,33.5461965,302.9211134,19.9707363,356.4380463
w69610063,SP7_CHOJNICE,14.122585,322.7799313,19.9707363,356.8732526
w81112069,SP7_CHOJNICE,15.0269969,322.2656041,19.9707363,357.2633373
w81112043,SP7_CHOJNICE,32.2558276,305.6804021,19.9707363,357.9069659
w66875131,SP1_CHOJNICE,36.2994239,297.4339094,24.32211,358.0554432
w69613602,SP7_CHOJNICE,13.8338212,324.5884543,19.9707363,358.3930117
w69611275,SP7_CHOJNICE,16.3317813,322.3526297,19.9707363,358.6551473
w82620279,SP7_CHOJNICE,16.8543883,322.8088896,19.9707363,359.6340141
w81001690,SP7_CHOJNICE,12.5274058,327.7793285,19.9707363,360.2774705
w81001679,SP7_CHOJNICE,18.9846702,321.7219306,19.9707363,360.6773371
w69368397,SP7_CHOJNICE,22.446257,321.4858442,19.9707363,363.9028375
w81112063,SP7_CHOJNICE,15.1944431,328.9491256,19.9707363,364.114305
w81001676,SP7_CHOJNICE,14.275075,330.3321663,19.9707363,364.5779776
w81001668,SP7_CHOJNICE,19.4186318,325.5444465,19.9707363,364.9338146
w814770545,SP7_CHOJNICE,19.8041736,325.7209772,19.9707363,365.4958871
w69619956,SP7_CHOJNICE,12.4331766,333.2244972,19.9707363,365.6284102
w69610070,SP7_CHOJNICE,16.7366739,329.517786,19.9707363,366.2251961
w66723506,SP1_CHOJNICE,12.7057845,329.2290425,24.32211,366.2569369
w82620277,SP7_CHOJNICE,31.7983268,315.1673557,19.9707363,366.9364187
w82610546,SP7_CHOJNICE,11.5749031,335.7306545,19.9707363,367.2762938
w69613578,SP7_CHOJNICE,16.9723491,330.5371696,19.9707363,367.480255
w82608865,SP7_CHOJNICE,32.5769047,315.0069972,19.9707363,367.5546381
w814770540,SP7_CHOJNICE,15.3262813,332.4109565,19.9707363,367.707974
w66875127,SP1_CHOJNICE,39.1352192,304.4624225,24.32211,367.9197517
w82608037,SP7_CHOJNICE,25.9431634,322.1257138,19.9707363,368.0396135
w69368379,SP7_CHOJNICE,27.0333697,322.2414323,19.9707363,369.2455383
w81001709,SP7_CHOJNICE,23.730209,325.6654716,19.9707363,369.3664169
w81001703,SP7_CHOJNICE,12.7186136,336.7328139,19.9707363,369.4221637
w81112066,SP7_CHOJNICE,31.073625,318.9599914,19.9707363,370.0043527
w71269630,SP7_CHOJNICE,17.3162091,332.8154874,19.9707363,370.1024328
w71269632,SP7_CHOJNICE,26.4853474,325.1262891,19.9707363,371.5823728
w81001683,SP7_CHOJNICE,22.3150209,330.0738151,19.9707363,372.3595723
w82620240,SP7_CHOJNICE,31.7154935,321.6589931,19.9707363,373.3452228
w69613571,SP7_CHOJNICE,16.7347837,336.9729416,19.9707363,373.6784616
w82610558,SP7_CHOJNICE,25.4585711,329.121412,19.9707363,374.5507194
w66529455,SP1_CHOJNICE,12.0459599,338.3762808,24.32211,374.7443507
w66875077,SP1_CHOJNICE,31.0931157,319.6502634,24.32211,375.065489
w66875104,SP1_CHOJNICE,17.412539,333.7824482,24.32211,375.5170972
w69610059,SP7_CHOJNICE,14.0314605,343.0436897,19.9707363,377.0458864
w69619943,SP7_CHOJNICE,19.4227208,337.6577113,19.9707363,377.0511684
w81001671,SP7_CHOJNICE,12.3944058,344.7320613,19.9707363,377.0972034
w1215889325,SP7_CHOJNICE,15.1821506,341.9637526,19.9707363,377.1166394
w69613580,SP7_CHOJNICE,29.6577014,327.7563932,19.9707363,377.3848309
w69368377,SP7_CHOJNICE,17.302757,340.8447206,19.9707363,378.1182138
w69368382,SP7_CHOJNICE,11.7848792,346.7587342,19.9707363,378.5143497
w71241390,SP7_CHOJNICE,12.6601475,346.4018974,19.9707363,379.0327811
w82608046,SP7_CHOJNICE,17.5762073,341.9193528,19.9707363,379.4662963
w816675418,SP1_CHOJNICE,53.3971638,302.0858519,24.32211,379.8051258
w82608859,SP7_CHOJNICE,13.5411854,346.4618876,19.9707363,379.9738092
w1173514540,SP1_CHOJNICE,28.0883279,327.8591611,24.32211,380.269599
w69619974,SP7_CHOJNICE,26.3037338,334.0032908,19.9707363,380.2777608
w81112054,SP7_CHOJNICE,14.4309314,347.009367,19.9707363,381.4110347
w82608881,SP7_CHOJNICE,26.2227429,335.2314581,19.9707363,381.4249373
w69422558,SP7_CHOJNICE,11.710541,350.2608836,19.9707363,381.9421609
w81001677,SP7_CHOJNICE,14.0219901,347.999769,19.9707363,381.9924954
w82608891,SP7_CHOJNICE,17.1435988,345.2115872,19.9707363,382.3259222
w82610548,SP7_CHOJNICE,14.7779359,348.0676707,19.9707363,382.8163429
w69619909,SP7_CHOJNICE,11.2245384,351.6750945,19.9707363,382.8703691
w69611314,SP7_CHOJNICE,37.1076197,325.8184705,19.9707363,382.8968264
w80997522,SP7_CHOJNICE,10.959813,352.3491191,19.9707363,383.2796684
w616676309,SP7_CHOJNICE,20.8122944,343.5181226,19.9707363,384.3011533
w81001707,SP7_CHOJNICE,31.5205793,333.3090963,19.9707363,384.8004119
w82620298,SP7_CHOJNICE,17.5561463,347.8022069,19.9707363,385.3290895
w81001714,SP7_CHOJNICE,12.59859,352.8257235,19.9707363,385.3950497
w69368406,SP7_CHOJNICE,32.8413844,332.7700566,19.9707363,385.5821772
w81001666,SP7_CHOJNICE,12.52623,353.7885701,19.9707363,386.2855363
w66875118,SP1_CHOJNICE,33.9652116,328.3437673,24.32211,386.6310889
w66723502,SP1_CHOJNICE,12.6333081,349.804261,24.32211,386.7596791
w66875150,SP1_CHOJNICE,36.2562344,326.1999305,24.32211,386.7782748
w82610541,SP7_CHOJNICE,14.7460239,353.1111657,19.9707363,387.8279259
w69368375,SP7_CHOJNICE,21.7603822,346.1462369,19.9707363,387.8773553
w81112049,SP7_CHOJNICE,27.4462254,340.7917346,19.9707363,388.2086962
w81001693,SP7_CHOJNICE,31.48772,337.9463522,19.9707363,389.4048085
w69610068,SP7_CHOJNICE,11.8943186,357.9152244,19.9707363,389.7802793
w82620261,SP7_CHOJNICE,16.7993776,353.9919492,19.9707363,390.7620631
w71241383,SP7_CHOJNICE,11.0288054,361.4953605,19.9707363,392.4949021
w69611280,SP7_CHOJNICE,17.6193606,354.9255018,19.9707363,392.5155987
w82610537,SP7_CHOJNICE,14.3217119,358.2533162,19.9707363,392.5457643
w82608864,SP7_CHOJNICE,21.9105228,351.3800913,19.9707363,393.2613504
w1173514553,SP7_CHOJNICE,16.8703937,357.4682214,19.9707363,394.3093513
w82608029,SP7_CHOJNICE,18.583211,356.249454,19.9707363,394.8034012
w82608013,SP7_CHOJNICE,32.3678624,342.5468082,19.9707363,394.885407
w69610062,SP7_CHOJNICE,15.3851776,360.0836568,19.9707363,395.4395707
w69368390,SP7_CHOJNICE,20.4904353,355.1963146,19.9707363,395.6574862
w66875138,SP1_CHOJNICE,49.7097793,322.8853681,24.32211,396.9172573
w82610554,SP7_CHOJNICE,19.7577058,357.2977967,19.9707363,397.0262388
w71269624,SP7_CHOJNICE,13.1897625,364.9625388,19.9707363,398.1230377
w81001664,SP7_CHOJNICE,23.7956429,355.5746166,19.9707363,399.3409958
w81001710,SP7_CHOJNICE,14.3282618,365.1050031,19.9707363,399.4040012
w82620244,SP7_CHOJNICE,25.5878915,354.1612994,19.9707363,399.7199271
w69368392,SP7_CHOJNICE,17.3121663,362.6659471,19.9707363,399.9488496
w80997521,SP7_CHOJNICE,18.2238222,362.5237344,19.9707363,400.7182929
w82620307,SP7_CHOJNICE,32.7841726,348.7758174,19.9707363,401.5307263
w80997538,SP7_CHOJNICE,16.2077866,365.829275,19.9707363,402.0077979
w82608031,SP7_CHOJNICE,17.4072038,365.1772227,19.9707363,402.5551627
w814770557,SP1_CHOJNICE,33.7153509,344.985186,24.32211,403.0226468
w81112041,SP7_CHOJNICE,14.4087534,369.2781566,19.9707363,403.6576462
w1173514539,SP1_CHOJNICE,38.9235487,340.7760229,24.32211,404.0216816
w616676311,SP7_CHOJNICE,21.047764,364.0084616,19.9707363,405.0269619
w82620284,SP7_CHOJNICE,31.3196929,354.7447355,19.9707363,406.0351647
w80997519,SP7_CHOJNICE,20.2781273,365.8356708,19.9707363,406.0845344
w813553759,SP7_CHOJNICE,18.6707953,367.8183892,19.9707363,406.4599208
w83556523,SP1_CHOJNICE,23.6290914,358.6328275,24.32211,406.5840289
w66529494,SP1_CHOJNICE,15.245372,368.2123143,24.32211,407.7797964
w69611270,SP7_CHOJNICE,33.9460596,354.4763669,19.9707363,408.3931627
w82608862,SP7_CHOJNICE,47.5585749,340.9702907,19.9707363,408.4996019
w71340127,SP7_CHOJNICE,15.8736195,373.5882238,19.9707363,409.4325796
w66723504,SP1_CHOJNICE,13.9594641,371.2128351,24.32211,409.4944091
w71238087,SP7_CHOJNICE,12.2109404,378.9241255,19.9707363,411.1058021
w813553758,SP7_CHOJNICE,18.5722119,373.521983,19.9707363,412.0649312
w69368418,SP7_CHOJNICE,12.8509276,380.4043683,19.9707363,413.2260322
w80997534,SP7_CHOJNICE,24.0564031,369.6537153,19.9707363,413.6808547
w69368381,SP7_CHOJNICE,33.3093716,360.5865248,19.9707363,413.8666327
w69611331,SP7_CHOJNICE,16.4182703,378.1476246,19.9707363,414.5366312
w71269430,SP7_CHOJNICE,16.3305186,378.8993568,19.9707363,415.2006117
w82608887,SP7_CHOJNICE,17.813995,377.8569878,19.9707363,415.6417192
w69611320,SP7_CHOJNICE,31.4538312,364.8759795,19.9707363,416.300547
w82608050,SP7_CHOJNICE,17.9054564,378.7194336,19.9707363,416.5956263
w813553757,SP7_CHOJNICE,18.4756447,379.1353419,19.9707363,417.5817229
w81112052,SP7_CHOJNICE,29.3881831,368.2847209,19.9707363,417.6436402
w82620271,SP7_CHOJNICE,16.3040931,381.7032324,19.9707363,417.9780617
w80997518,SP7_CHOJNICE,18.127001,380.5303338,19.9707363,418.6280711
w71239459,SP7_CHOJNICE,9.4542336,389.9406582,19.9707363,419.3656281
w82608033,SP7_CHOJNICE,32.1073449,367.6042522,19.9707363,419.6823334
w69368391,SP7_CHOJNICE,17.4869124,382.3820243,19.9707363,419.839673
w80997532,SP7_CHOJNICE,12.1506003,389.2517771,19.9707363,421.3731137
w82608863,SP7_CHOJNICE,14.4258217,387.1950847,19.9707363,421.5916427
w69422555,SP7_CHOJNICE,11.5889639,390.0528269,19.9707363,421.612527
w82620294,SP7_CHOJNICE,14.9041008,387.9147547,19.9707363,422.7895918
w81112051,SP7_CHOJNICE,14.5163023,388.4139144,19.9707363,422.900953
w81112057,SP7_CHOJNICE,34.6631922,368.267719,19.9707363,422.9016475
w813553756,SP7_CHOJNICE,18.3815581,384.737612,19.9707363,423.0899064
w81001660,SP7_CHOJNICE,13.5079333,389.9235243,19.9707363,423.4021939
w82608036,SP7_CHOJNICE,32.1294708,371.812423,19.9707363,423.9126301
w80997531,SP7_CHOJNICE,9.4502123,395.1905981,19.9707363,424.6115467
w66723511,SP1_CHOJNICE,23.1573609,378.0499002,24.32211,425.5293711
w82608021,SP7_CHOJNICE,18.1077891,387.4514904,19.9707363,425.5300158
w69611272,SP7_CHOJNICE,16.5098708,389.8858443,19.9707363,426.3664514
w81001662,SP7_CHOJNICE,13.1880029,394.2920021,19.9707363,427.4507413
w69610060,SP7_CHOJNICE,18.2676755,389.9780736,19.9707363,428.2164854
w813553755,SP7_CHOJNICE,18.286063,390.4440605,19.9707363,428.7008598
w71238056,SP7_CHOJNICE,15.963604,393.2534682,19.9707363,429.1878085
w81001658,SP7_CHOJNICE,26.1581874,383.5882633,19.9707363,429.717187
w71238080,SP7_CHOJNICE,20.9607559,389.1576018,19.9707363,430.089094
w66875110,SP1_CHOJNICE,16.9116902,388.9224779,24.32211,430.1562781
w71238091,SP7_CHOJNICE,14.8060086,395.8152149,19.9707363,430.5919597
w82620252,SP7_CHOJNICE,14.8273993,395.8524993,19.9707363,430.6506348
